Al,Cu,Mg,Zn,Tensile Strength (MPa),Yield Strength (MPa)
0.714510123166965,-0.0970873786407767,-0.3170731707317073,-0.052,-0.33379524089488743,-0.1413092107733543
0.69738610635666,-0.024271844660194174,-0.4878048780487805,-0.052,-0.5004828824542324,
0.6859700951497892,-0.0970873786407767,-0.4878048780487805,-0.052,-0.5006928613423313,-0.3213280756920846
0.6859700951497892,-0.0970873786407767,-0.4878048780487805,-0.052,-0.2987624296915466,-0.13054765013381198
0.5999405187762746,-0.072791213592233,-0.4145608780487805,0.3484004,-0.5004828824542324,-0.34812706702349866
0.590627260726968,-0.02423543689320389,-0.24378043902439514,0.7484004000000001,-0.39962265607288955,-0.2828532419565926
0.5242432697191334,0.0,-0.0975609756097561,0.9480000000000001,-0.5004828824542324,
0.5147299270467407,-0.0970873786407767,0.1463414634146341,-0.052,-0.16689762044744372,0.00870650999225421
0.48143322769336966,-0.03640776699029126,-0.4878048780487805,0.348,-0.5004828824542324,
0.41900608324989064,-0.060643155339805827,0.5131961463414634,0.2483004,-0.17773015803393508,-0.08703176675587466
0.372029786960868,0.04854368932038835,-0.24390243902439024,1.548,-0.43996674662542673,
0.324463073598909,0.04854368932038835,-0.2926829268292683,0.9480000000000001,-0.3391065202440838,
0.22398389033383817,-0.07279733009708739,1.0255252195121949,0.3483004,-0.08695595429072643,-0.09573494343146212
0.012425433944465892,-0.0970873786407767,1.951219512195122,-0.052,0.44760324553039116,0.6309803089800913
-0.018017262607188025,-0.0970873786407767,2.0487804878048776,-0.052,0.44506032119318323,0.63877253720781
-0.02354866251725102,-0.06065228155339805,1.7089646341463411,0.44837520000000003,0.11476449847195946,0.0195821475200718
-0.750544648381339,0.3883495145631068,-0.4878048780487805,-0.052,-0.4172440511186093,-0.23131864323271936
0.9856225422992712,-0.08494233009708738,-0.4878048780487805,0.14814999999999998,-0.5388097684791429,-0.34812706702349866
0.9304353560564477,-0.08494718446601943,-0.4878048780487805,-0.052,-0.6013431088355754,-0.41340089209040465
0.9142903192871873,-0.07281553398058252,-0.47317073170731705,0.06799999999999999,-0.6397742117152011,-0.5013469406108148
0.8572102632528378,-0.08737864077669903,-0.4878048780487805,0.028000000000000008,-0.4728765912677573,-0.4113375081514497
0.7811035218737051,-0.0970873786407767,-0.4878048780487805,-0.052,-0.30597897082031356,-0.17131235492647587
0.48618989902956705,-0.0970873786407767,0.7317073170731707,-0.052,0.027816270074573837,0.2787348073703496
0.4288195338302265,-0.03637742718446602,0.02464648780487808,0.44825000000000004,-0.016353795823786363,-0.017406353351174932
0.3953525836963912,-0.07279733009708739,0.7326226341463413,0.14814999999999998,-0.054680681848696684,-0.06092223672911226
0.22398389033383817,-0.07279733009708739,1.0255252195121949,0.3483004,0.06433438528128799,0.07180120757359659
0.1532229054958605,-0.0970873786407767,1.7073170731707314,-0.052,0.2781627007457395,0.48875681644220137
0.12468287747868681,-0.0970873786407767,1.4634146341463414,-0.052,0.38708710970158544,0.587464425602154
-0.02354866251725102,-0.06065228155339805,1.7089646341463411,0.44837520000000003,0.39112151875683915,0.5787612489265664
-0.018017262607188025,-0.0970873786407767,2.0487804878048776,-0.052,0.5006928613423312,0.7587851138202968
0.9922997292007981,-0.0970873786407767,-0.4878048780487805,-0.052,-0.6618592446643812,-0.7180120757359659
-0.16071740269306076,-0.0970873786407767,2.0731707317073167,-0.052,0.19471389052201754,0.09871594245161942
-0.3557409274770877,-0.04854368932038835,1.9999999999999996,0.9480000000000001,0.18536665693889953,
0.958051695580188,-0.0970873786407767,-0.4292682926829268,-0.052,-0.6675904817897749,-0.5013469406108148
0.9333170046319704,-0.0970873786407767,-0.2926829268292683,-0.052,-0.7788555620880708,-0.6513626613764232
0.8667236059252305,-0.0970873786407767,-0.12195121951219515,-0.052,-0.751039292013497,-0.6513626613764232
0.8572102632528378,-0.0970873786407767,-0.0975609756097561,-0.052,-0.6675904817897749,-0.5313500847639365
0.8572102632528378,-0.0970873786407767,-0.0975609756097561,-0.052,-0.6618592446643812,-0.5221906005352479
0.8381835779080546,-0.04854368932038835,-0.1951219512195122,-0.052,-0.6675904817897749,-0.5313500847639365
0.8001302072184883,-0.0970873786407767,-0.24390243902439024,-0.052,-0.5811710635593068,-0.4351588337793733
0.762076836528922,-0.0970873786407767,0.0,-0.052,-0.5563254014914792,-0.44134065230457115
0.762076836528922,-0.0970873786407767,0.0,-0.052,-0.5811710635593068,-0.4351588337793733
0.7430501511841388,-0.0970873786407767,-0.24390243902439024,-0.052,-0.584141671566053,-0.4113375081514497
0.7430501511841388,-0.04854368932038835,0.0,-0.052,-0.584141671566053,-0.44134065230457115
0.5337566123915239,-0.0970873786407767,0.7317073170731707,-0.052,-0.35927856552035237,-0.391642950401436
0.49570324170195756,-0.04854368932038835,0.7317073170731707,-0.052,-0.3616115109694615,-0.381334363998328
