doi,name,series,caption,AA_des,YS,UTS,temper,elong,flag,flag_note
10.1016/j.msea.2017.04.024,CG,5000,Tensile mechanical properties of the CG and UFG Al 5083 alloy at different strain rates.,5083,,256,,32,FALSE,
10.1016/j.msea.2017.04.024,UFG,5000,Tensile mechanical properties of the CG and UFG Al 5083 alloy at different strain rates.,5083,,324,,19,FALSE,
10.1016/j.msea.2017.04.024,UFG,5000,Tensile mechanical properties of the CG and UFG Al 5083 alloy at different strain rates.,5083,,326,,21,FALSE,
10.1016/j.compositesa.2009.06.007,AZ31,5000,Results of tensile testing of AZ31 and AZ31-1.0 vol%CNT/0.079 AA5052 macrocomposite.,5052,172,263,,10.4,FALSE,
10.1016/j.msea.2009.07.022,90,5000,Nominal chemical compositions (wt.%) and mechanical properties of the aluminum alloy wires.,,,195,,25,FALSE,
10.1007/s11663-016-0727-5,H321,5000,Main Chemical Compositions (Weight Percent) and Mechanical Properties of Two Sheets Materials,,,380,H321,,FALSE,
10.1016/j.jmatprotec.2015.04.003,T40,5000,"Mechanical properties of the as-received materials: ultimate tensile strength (UTS), yield stress (YS), Young module (E), elongation to fracture (A%), Vickers microhardness (HV).",,276,460,T40,,FALSE,
10.1016/j.jmatprotec.2015.04.003,5754 Al,5000,"Mechanical properties of the as-received materials: ultimate tensile strength (UTS), yield stress (YS), Young module (E), elongation to fracture (A%), Vickers microhardness (HV).",5754,80,230,,,FALSE,
10.1016/j.matdes.2016.02.075,Al5052,5000,Mechanical properties of the sheet materials.,5052,211.5,229.9,,14,FALSE,
10.1016/j.matdes.2016.02.075,H62,5000,Mechanical properties of the sheet materials.,,340.3,424.5,H62,37,FALSE,
10.1007/s10853-006-0832-y,Conventional 5052-O sheet,5000,Mechanical properties of the lab-processed sheets and conventionally produced 5052-O Al sheet,5052,90,193,O,25,FALSE,
10.1007/s10853-006-0832-y,Lab-processed sheet (1.6 mm),5000,Mechanical properties of the lab-processed sheets and conventionally produced 5052-O Al sheet,5052,102.1,215.1,O,21.1,FALSE,
10.1007/s10853-006-0832-y,Lab-processed sheet (0.8 mm),5000,Mechanical properties of the lab-processed sheets and conventionally produced 5052-O Al sheet,5052,97.9,217.3,O,20,FALSE,
10.1007/s11837-016-1896-z,0 (aged),5000,Vickers microhardnesses and tensile properties of the Al-0.09 Sc-0.045 Zr/Saffil MMC before and after aging,,128,164,,31,FALSE,
10.1007/s11837-016-1896-z,4 (aged),5000,Vickers microhardnesses and tensile properties of the Al-0.09 Sc-0.045 Zr/Saffil MMC before and after aging,,127,196,,10,FALSE,
